# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN10685_c0_g2_i1%7Cg.10026%20TRINITY_DN10685_c0_g2_i1%7Cm.10026%20type%3A3prime_partial%20len%3A176%20(%2B)	TRINITY_DN10685_c0_g2_i1|g.10026	TRINITY_DN10685_c0_g2_i1|m.10026	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN11011_c0_g1_i1%7Cg.71605%20TRINITY_DN11011_c0_g1_i1%7Cm.71605%20type%3Ainternal%20len%3A160%20(%2B)	TRINITY_DN11011_c0_g1_i1|g.71605	TRINITY_DN11011_c0_g1_i1|m.71605	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN11011_c0_g1_i1%7Cg.71606%20TRINITY_DN11011_c0_g1_i1%7Cm.71606%20type%3Ainternal%20len%3A160%20(-)	TRINITY_DN11011_c0_g1_i1|g.71606	TRINITY_DN11011_c0_g1_i1|m.71606	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN11581_c0_g1_i1%7Cg.37949%20TRINITY_DN11581_c0_g1_i1%7Cm.37949%20type%3Acomplete%20len%3A265%20(%2B)	TRINITY_DN11581_c0_g1_i1|g.37949	TRINITY_DN11581_c0_g1_i1|m.37949	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN11581_c0_g1_i1%7Cg.37950%20TRINITY_DN11581_c0_g1_i1%7Cm.37950%20type%3Acomplete%20len%3A118%20(-)	TRINITY_DN11581_c0_g1_i1|g.37950	TRINITY_DN11581_c0_g1_i1|m.37950	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12877_c0_g3_i1%7Cg.35239%20TRINITY_DN12877_c0_g3_i1%7Cm.35239%20type%3Acomplete%20len%3A181%20(%2B)	TRINITY_DN12877_c0_g3_i1|g.35239	TRINITY_DN12877_c0_g3_i1|m.35239	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12877_c0_g3_i1%7Cg.35240%20TRINITY_DN12877_c0_g3_i1%7Cm.35240%20type%3Acomplete%20len%3A103%20(-)	TRINITY_DN12877_c0_g3_i1|g.35240	TRINITY_DN12877_c0_g3_i1|m.35240	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12925_c0_g1_i1%7Cg.61674%20TRINITY_DN12925_c0_g1_i1%7Cm.61674%20type%3Acomplete%20len%3A151%20(%2B)	TRINITY_DN12925_c0_g1_i1|g.61674	TRINITY_DN12925_c0_g1_i1|m.61674	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61678%20TRINITY_DN12942_c0_g1_i1%7Cm.61678%20type%3Ainternal%20len%3A252%20(-)	TRINITY_DN12942_c0_g1_i1|g.61678	TRINITY_DN12942_c0_g1_i1|m.61678	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61679%20TRINITY_DN12942_c0_g1_i1%7Cm.61679%20type%3A3prime_partial%20len%3A173%20(-)	TRINITY_DN12942_c0_g1_i1|g.61679	TRINITY_DN12942_c0_g1_i1|m.61679	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
