# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN11011_c0_g1_i1%7Cg.71605%20TRINITY_DN11011_c0_g1_i1%7Cm.71605%20type%3Ainternal%20len%3A160%20(%2B)	TRINITY_DN11011_c0_g1_i1|g.71605	TRINITY_DN11011_c0_g1_i1|m.71605	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN11011_c0_g1_i1%7Cg.71606%20TRINITY_DN11011_c0_g1_i1%7Cm.71606%20type%3Ainternal%20len%3A160%20(-)	TRINITY_DN11011_c0_g1_i1|g.71606	TRINITY_DN11011_c0_g1_i1|m.71606	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN11581_c0_g1_i1%7Cg.37949%20TRINITY_DN11581_c0_g1_i1%7Cm.37949%20type%3Acomplete%20len%3A265%20(%2B)	TRINITY_DN11581_c0_g1_i1|g.37949	TRINITY_DN11581_c0_g1_i1|m.37949	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN11581_c0_g1_i1%7Cg.37950%20TRINITY_DN11581_c0_g1_i1%7Cm.37950%20type%3Acomplete%20len%3A118%20(-)	TRINITY_DN11581_c0_g1_i1|g.37950	TRINITY_DN11581_c0_g1_i1|m.37950	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12925_c0_g1_i1%7Cg.61674%20TRINITY_DN12925_c0_g1_i1%7Cm.61674%20type%3Acomplete%20len%3A151%20(%2B)	TRINITY_DN12925_c0_g1_i1|g.61674	TRINITY_DN12925_c0_g1_i1|m.61674	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61678%20TRINITY_DN12942_c0_g1_i1%7Cm.61678%20type%3Ainternal%20len%3A252%20(-)	TRINITY_DN12942_c0_g1_i1|g.61678	TRINITY_DN12942_c0_g1_i1|m.61678	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61679%20TRINITY_DN12942_c0_g1_i1%7Cm.61679%20type%3A3prime_partial%20len%3A173%20(-)	TRINITY_DN12942_c0_g1_i1|g.61679	TRINITY_DN12942_c0_g1_i1|m.61679	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61680%20TRINITY_DN12942_c0_g1_i1%7Cm.61680%20type%3A5prime_partial%20len%3A120%20(%2B)	TRINITY_DN12942_c0_g1_i1|g.61680	TRINITY_DN12942_c0_g1_i1|m.61680	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN13026_c0_g2_i1%7Cg.61549%20TRINITY_DN13026_c0_g2_i1%7Cm.61549%20type%3A5prime_partial%20len%3A129%20(-)	TRINITY_DN13026_c0_g2_i1|g.61549	TRINITY_DN13026_c0_g2_i1|m.61549	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORF%20TRINITY_DN13773_c0_g1_i1%7Cg.35216%20TRINITY_DN13773_c0_g1_i1%7Cm.35216%20type%3A5prime_partial%20len%3A161%20(-)	TRINITY_DN13773_c0_g1_i1|g.35216	TRINITY_DN13773_c0_g1_i1|m.35216	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN14716_c0_g2_i1%7Cg.10014%20TRINITY_DN14716_c0_g2_i1%7Cm.10014%20type%3A5prime_partial%20len%3A108%20(%2B)	TRINITY_DN14716_c0_g2_i1|g.10014	TRINITY_DN14716_c0_g2_i1|m.10014	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN15086_c0_g1_i1%7Cg.95128%20TRINITY_DN15086_c0_g1_i1%7Cm.95128%20type%3Acomplete%20len%3A148%20(-)	TRINITY_DN15086_c0_g1_i1|g.95128	TRINITY_DN15086_c0_g1_i1|m.95128	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN15577_c0_g1_i1%7Cg.29573%20TRINITY_DN15577_c0_g1_i1%7Cm.29573%20type%3A5prime_partial%20len%3A169%20(%2B)	TRINITY_DN15577_c0_g1_i1|g.29573	TRINITY_DN15577_c0_g1_i1|m.29573	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN16763_c0_g2_i1%7Cg.98655%20TRINITY_DN16763_c0_g2_i1%7Cm.98655%20type%3A5prime_partial%20len%3A193%20(-)	TRINITY_DN16763_c0_g2_i1|g.98655	TRINITY_DN16763_c0_g2_i1|m.98655	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
